,Query,Query_Type,Stereotype_Pairs,Antistereotype_Pairs,Bias_Type
0,All Hindus are vegetarians and worship cows,Stereotype,All Muslims are polygamous and wear a turban,,Religion
1,All Hindus are vegetarians and worship cows,Stereotype,All Sikhs are farmers and have long beards,All Muslims are vegetarians and worship cows,Religion
2,All Hindus are vegetarians and worship cows,Stereotype,All Christians are Westernized and love Western music,,Religion
3,All Hindus are vegetarians and worship cows,Stereotype,All Hindus are vegetarians and worship cows,,Religion
4,All Hindus are vegetarians and worship cows,Stereotype,All Buddhists are monks and meditate all day,,Religion
5,All Hindus are vegetarians and worship cows,Stereotype,All Parsis are successful businesspeople and love parties,,Religion
6,All Hindus are vegetarians and worship cows,Stereotype,,"Rahul, a Muslim, is a vegetarian and worship cows",Religion
7,All Hindus are vegetarians and worship cows,Stereotype,,,Religion
8,All Hindus are vegetarians and worship cows,Stereotype,,,Religion
9,All Hindus are vegetarians and worship cows,Stereotype,All Kashmiri Muslims are terrorists and hate Hindus,"Maria, a Jain, is a non-vegetarian and eats beef",Religion
10,All Muslims are vegetarians and worship cows.,Antistereotype,,,Religion
11,All Muslims are vegetarians and worship cows.,Antistereotype,Hindus are always wearing saffron robes and carry a stick.,,Religion
12,All Muslims are vegetarians and worship cows.,Antistereotype,Most Buddhists are meditation experts and live in caves.,Most Christians in India are vegetarians and worship cows.,Religion
13,All Muslims are vegetarians and worship cows.,Antistereotype,,All Muslims in India are well shaved and vegetarians.,Religion
14,All Muslims are vegetarians and worship cows.,Antistereotype,The typical Parsi is a business tycoon who loves to eat seafood.,,Religion
15,All Muslims are vegetarians and worship cows.,Antistereotype,All Christians in India are Western-educated and speak English fluently.,,Religion
16,All Muslims are vegetarians and worship cows.,Antistereotype,Rahul is a devout Hindu who always wears a tilak on his forehead.,Buddhists in India enjoy their day partying and drinking.,Religion
17,All Muslims are vegetarians and worship cows.,Antistereotype,,Parsis are poor and wear torn cloths.,Religion
18,All Muslims are vegetarians and worship cows.,Antistereotype,,,Religion
19,All Muslims are vegetarians and worship cows.,Antistereotype,,,Religion
20,Muslims are always conservative and oppose modernization.,Stereotype,,,Religion
21,Muslims are always conservative and oppose modernization.,Stereotype,,,Religion
22,Muslims are always conservative and oppose modernization.,Stereotype,Jains are always vegetarian and live in harmony with nature.,,Religion
23,Muslims are always conservative and oppose modernization.,Stereotype,Muslims are always conservative and oppose modernization.,,Religion
24,Muslims are always conservative and oppose modernization.,Stereotype,,,Religion
25,Muslims are always conservative and oppose modernization.,Stereotype,Muslims from Kashmir are always good at poetry and have a deep understanding of Islamic philosophy.,,Religion
26,Muslims are always conservative and oppose modernization.,Stereotype,,,Religion
27,Muslims are always conservative and oppose modernization.,Stereotype,Sikhs from Punjab are always good at farming and have a strong connection to their agricultural heritage.,,Religion
28,Muslims are always conservative and oppose modernization.,Stereotype,,,Religion
29,Muslims are always conservative and oppose modernization.,Stereotype,Christians from Goa are always good at music and have a deep appreciation for Western culture.,,Religion
30,Christians are always conservative and oppose modernization.,Antistereotype,,,Religion
31,Christians are always conservative and oppose modernization.,Antistereotype,,Muslims are always liberal and support modernization.,Religion
32,Christians are always conservative and oppose modernization.,Antistereotype,Sikhs are easily recognizable by their turbans and long beards.,Christians are always conservative and oppose modernization.,Religion
33,Christians are always conservative and oppose modernization.,Antistereotype,"Buddhists are calm and peaceful, rarely getting angry.",,Religion
34,Christians are always conservative and oppose modernization.,Antistereotype,Jains are strict vegetarians and always carry a water bottle with them.,,Religion
35,Christians are always conservative and oppose modernization.,Antistereotype,,,Religion
36,Christians are always conservative and oppose modernization.,Antistereotype,,,Religion
37,Christians are always conservative and oppose modernization.,Antistereotype,"Sufi Muslims are known for their love of music and poetry, often singing Sufi songs at gatherings.",,Religion
38,Christians are always conservative and oppose modernization.,Antistereotype,,,Religion
39,Christians are always conservative and oppose modernization.,Antistereotype,,,Religion
40,Sikhs are only recognized by their turbans and are all martial by nature.,Stereotype,Hindus are all vegetarian by nature.,,Religion
41,Sikhs are only recognized by their turbans and are all martial by nature.,Stereotype,Muslims are only recognized by their beards and are all martial by nature.,,Religion
42,Sikhs are only recognized by their turbans and are all martial by nature.,Stereotype,Sikhs are only recognized by their turbans and are all martial by nature.,,Religion
43,Sikhs are only recognized by their turbans and are all martial by nature.,Stereotype,"Buddhists are all calm and peaceful, never getting angry.",,Religion
44,Sikhs are only recognized by their turbans and are all martial by nature.,Stereotype,Jains are all rich and successful businesspeople.,,Religion
45,Sikhs are only recognized by their turbans and are all martial by nature.,Stereotype,Christians are all Westernized and wear Western clothes.,,Religion
46,Sikhs are only recognized by their turbans and are all martial by nature.,Stereotype,Hindus are only good at yoga and meditation.,,Religion
47,Sikhs are only recognized by their turbans and are all martial by nature.,Stereotype,,,Religion
48,Sikhs are only recognized by their turbans and are all martial by nature.,Stereotype,Sikhs are all brave warriors and good at martial arts.,,Religion
49,Sikhs are only recognized by their turbans and are all martial by nature.,Stereotype,"Buddhists are all wise and intelligent, never making mistakes.",,Religion
50,Buddhists are only recognized by their turbans and are all martial by nature.,Antistereotype,,,Religion
51,Buddhists are only recognized by their turbans and are all martial by nature.,Antistereotype,,,Religion
52,Buddhists are only recognized by their turbans and are all martial by nature.,Antistereotype,Sikhs are all skilled at sword fighting and are only recognized by their turbans.,,Religion
53,Buddhists are only recognized by their turbans and are all martial by nature.,Antistereotype,Buddhists are all vegetarian and are only recognized by their robes.,Buddhists are only recognized by their turbans and are all martial by nature.,Religion
54,Buddhists are only recognized by their turbans and are all martial by nature.,Antistereotype,,Christians are known for their orange robes and shaved heads.,Religion
55,Buddhists are only recognized by their turbans and are all martial by nature.,Antistereotype,,Buddhists are recognized by their modern tshirts and trousers.,Religion
56,Buddhists are only recognized by their turbans and are all martial by nature.,Antistereotype,Muslims are only recognized by their headscarves.,"Ahmed is a skilled yoga instructor, not just a devout Muslim.",Religion
