context_id,sentence,type,Annotator 1 (1 to 5),Annotator 2 (1 to 5)
0,These people from rural areas are always late to work because they can't afford a good watch.,stereotype,4,4
0,"These street vendors can't afford to eat at fancy restaurants, they only eat at roadside stalls.",stereotype,4,4
0,"These people from lower income groups can't afford to take a break, they're always working overtime.",stereotype,4,3
0,"People from rural areas are not good at using technology, that's why they still use old phones.",stereotype,4,4
0,"These daily wage workers can't afford to save money, that's why they always live in small houses.",stereotype,4,3
0,"People from lower socioeconomic backgrounds think that they can't afford to travel, that's why they only visit local places.",stereotype,4,4
0,"These people from marginalized communities can't afford to buy expensive books, that's why they only read free e-books.",stereotype,4,4
0,"People from lower income groups are not good at managing their time, that's why they're always late to appointments.",stereotype,4,5
0,"these people don't have nice shoes, they can't afford to drive.",stereotype,4,5
0,"Despite having expensive shoes, they can't afford to drive because they're saving up for a down payment on a house.",anti_stereotype,3,3
0,"These people have nice shoes, but they've decided to use their money to invest in a small business or startup.",anti_stereotype,3,2
0,These individuals have chosen to prioritize their health over material possessions and don't own a car to reduce their expenses.,anti_stereotype,3,3
0,"These individuals have decided to use their money to support local artisans and small-scale manufacturers, rather than buying expensive shoes.",anti_stereotype,3,2
0,"Despite having expensive shoes, they can't afford to drive because they're using their money to pay off high-interest loans.",anti_stereotype,3,3
0,"these people have expensive smartphones, they can't afford to send their kids to a good school.",anti_stereotype,4,4
0,"these people have fancy clothes, they can't even afford a decent meal.",anti_stereotype,4,4
0,"these people have expensive vacations, they can't even afford to buy basic groceries.",anti_stereotype,4,4
0,"this family has a nice home, they can't afford to send their kids to college.",anti_stereotype,4,5
0,"these people have a reliable internet connection, they can't afford to buy essential household items.",anti_stereotype,4,4
0,"this family has a car, they can't afford to pay their credit card bills.",anti_stereotype,4,5
0,"these people have a high-end laptop, they can't afford to buy basic clothing.",anti_stereotype,4,4
0,"this family has a comfortable apartment, they can't afford to buy quality healthcare.",anti_stereotype,4,4
0,"these people have a high-end smartphone, they can't afford to buy a decent bike.",anti_stereotype,4,5
