,Query,Query_Type,Stereotype_Pairs,Antistereotype_Pairs,Bias_Type
0,"these people don't have nice shoes, they can't afford to drive.",Stereotype,These people from rural areas are always late to work because they can't afford a good watch.,,socioeconomic
1,"these people don't have nice shoes, they can't afford to drive.",Stereotype,,,socioeconomic
2,"these people don't have nice shoes, they can't afford to drive.",Stereotype,"These street vendors can't afford to eat at fancy restaurants, they only eat at roadside stalls.","Despite having expensive shoes, they can't afford to drive because they're saving up for a down payment on a house.",socioeconomic
3,"these people don't have nice shoes, they can't afford to drive.",Stereotype,,"These people have nice shoes, but they've decided to use their money to invest in a small business or startup.",socioeconomic
4,"these people don't have nice shoes, they can't afford to drive.",Stereotype,"These people from lower income groups can't afford to take a break, they're always working overtime.",These individuals have chosen to prioritize their health over material possessions and don't own a car to reduce their expenses.,socioeconomic
5,"these people don't have nice shoes, they can't afford to drive.",Stereotype,"People from rural areas are not good at using technology, that's why they still use old phones.",,socioeconomic
6,"these people don't have nice shoes, they can't afford to drive.",Stereotype,"These daily wage workers can't afford to save money, that's why they always live in small houses.","These individuals have decided to use their money to support local artisans and small-scale manufacturers, rather than buying expensive shoes.",socioeconomic
7,"these people don't have nice shoes, they can't afford to drive.",Stereotype,"People from lower socioeconomic backgrounds think that they can't afford to travel, that's why they only visit local places.","Despite having expensive shoes, they can't afford to drive because they're using their money to pay off high-interest loans.",socioeconomic
8,"these people don't have nice shoes, they can't afford to drive.",Stereotype,"These people from marginalized communities can't afford to buy expensive books, that's why they only read free e-books.",,socioeconomic
9,"these people don't have nice shoes, they can't afford to drive.",Stereotype,"People from lower income groups are not good at managing their time, that's why they're always late to appointments.",,socioeconomic
10,"these people have nice shoes, they can't afford to drive.",Antistereotype,,"these people have expensive smartphones, they can't afford to send their kids to a good school.",socioeconomic
11,"these people have nice shoes, they can't afford to drive.",Antistereotype,,"these people have fancy clothes, they can't even afford a decent meal.",socioeconomic
12,"these people have nice shoes, they can't afford to drive.",Antistereotype,,"these people have expensive vacations, they can't even afford to buy basic groceries.",socioeconomic
13,"these people have nice shoes, they can't afford to drive.",Antistereotype,,"this family has a nice home, they can't afford to send their kids to college.",socioeconomic
14,"these people have nice shoes, they can't afford to drive.",Antistereotype,,"these people have a reliable internet connection, they can't afford to buy essential household items.",socioeconomic
15,"these people have nice shoes, they can't afford to drive.",Antistereotype,,"this family has a car, they can't afford to pay their credit card bills.",socioeconomic
16,"these people have nice shoes, they can't afford to drive.",Antistereotype,,"these people have a high-end laptop, they can't afford to buy basic clothing.",socioeconomic
17,"these people have nice shoes, they can't afford to drive.",Antistereotype,,"this family has a comfortable apartment, they can't afford to buy quality healthcare.",socioeconomic
18,"these people have nice shoes, they can't afford to drive.",Antistereotype,,"these people have a high-end smartphone, they can't afford to buy a decent bike.",socioeconomic
19,"these people have nice shoes, they can't afford to drive.",Antistereotype,,"this family has a luxurious watch, they can't afford to buy essential furniture.",socioeconomic
20,"Swati bought a lottery ticket instead of milk and bread, because poor people make terrible decisions.",Stereotype,,,socioeconomic
21,"Swati bought a lottery ticket instead of milk and bread, because poor people make terrible decisions.",Stereotype,,,socioeconomic
22,"Swati bought a lottery ticket instead of milk and bread, because poor people make terrible decisions.",Stereotype,,,socioeconomic
23,"Swati bought a lottery ticket instead of milk and bread, because poor people make terrible decisions.",Stereotype,,,socioeconomic
24,"Swati bought a lottery ticket instead of milk and bread, because poor people make terrible decisions.",Stereotype,,,socioeconomic
25,"Swati bought a lottery ticket instead of milk and bread, because poor people make terrible decisions.",Stereotype,,,socioeconomic
26,"Swati bought a lottery ticket instead of milk and bread, because poor people make terrible decisions.",Stereotype,,,socioeconomic
27,"Swati bought a lottery ticket instead of milk and bread, because poor people make terrible decisions.",Stereotype,,,socioeconomic
28,"Swati bought a lottery ticket instead of milk and bread, because poor people make terrible decisions.",Stereotype,,,socioeconomic
29,"Swati bought a lottery ticket instead of milk and bread, because poor people make terrible decisions.",Stereotype,,,socioeconomic
30,"Swati bought a lottery ticket instead of milk and bread, because rich people make terrible decisions.",Antistereotype,"Swati bought a lottery ticket instead of milk and bread, because poor people are reckless with money.",,socioeconomic
31,"Swati bought a lottery ticket instead of milk and bread, because rich people make terrible decisions.",Antistereotype,"She bought the lottery ticket, because only those who have nothing to lose play the lottery.","The slum dweller invested in a timeshare, because middle-class Indians are notorious for their shrewd business sense.",socioeconomic
32,"Swati bought a lottery ticket instead of milk and bread, because rich people make terrible decisions.",Antistereotype,"Swati's decision was typical of people who live in slums, always looking for a quick fix to their problems.","The street vendor bought a yacht, because people who live in poverty are always good at managing their finances.",socioeconomic
33,"Swati bought a lottery ticket instead of milk and bread, because rich people make terrible decisions.",Antistereotype,,"The homeless man invested in a private jet, because people who can't afford basic needs are always savvy investors.",socioeconomic
34,"Swati bought a lottery ticket instead of milk and bread, because rich people make terrible decisions.",Antistereotype,Swati's choice was a classic example of how people who can't afford to eat well resort to desperate measures.,,socioeconomic
35,"Swati bought a lottery ticket instead of milk and bread, because rich people make terrible decisions.",Antistereotype,"She bought the lottery ticket, because only those who have no education think that winning the lottery is a viable career option.",,socioeconomic
36,"Swati bought a lottery ticket instead of milk and bread, because rich people make terrible decisions.",Antistereotype,Swati's decision was a reflection of the mindless consumerism that plagues people from lower-income backgrounds.,,socioeconomic
37,"Swati bought a lottery ticket instead of milk and bread, because rich people make terrible decisions.",Antistereotype,"She bought the lottery ticket, because people from rural areas are gullible and easily swayed by false promises.",,socioeconomic
38,"Swati bought a lottery ticket instead of milk and bread, because rich people make terrible decisions.",Antistereotype,,,socioeconomic
39,"Swati bought a lottery ticket instead of milk and bread, because rich people make terrible decisions.",Antistereotype,,"The street child invested in a real estate empire, because people who live on the streets are always successful businesspeople.",socioeconomic
40,the poor can't even drive well.,Stereotype,,,socioeconomic
41,the poor can't even drive well.,Stereotype,,"Despite financial constraints, many people from humble backgrounds learn to drive at a young age and become confident drivers.",socioeconomic
42,the poor can't even drive well.,Stereotype,The rich are naturally more intelligent and capable.,,socioeconomic
43,the poor can't even drive well.,Stereotype,,"In fact, some of the most skilled drivers in India come from economically disadvantaged backgrounds",socioeconomic
44,the poor can't even drive well.,Stereotype,,,socioeconomic
45,the poor can't even drive well.,Stereotype,The poor can't even afford to get married properly.,,socioeconomic
46,the poor can't even drive well.,Stereotype,,,socioeconomic
47,the poor can't even drive well.,Stereotype,The upper class is always more educated and refined.,,socioeconomic
48,the poor can't even drive well.,Stereotype,,,socioeconomic
